Date,Company,Open,High,Low,Close,Volume
2016-01-01,ADANIPORTS,261.0,268.3,260.1,267.55,1347893
2016-01-04,ADANIPORTS,264.45,266.5,257.0,257.95,2536252
2016-01-05,ADANIPORTS,259.2,260.3,254.25,255.7,2815055
2016-01-06,ADANIPORTS,253.0,257.3,250.55,251.8,2029467
2016-01-07,ADANIPORTS,245.65,247.5,241.5,245.0,4244402
2016-01-08,ADANIPORTS,245.3,247.25,239.35,241.4,4219352
2016-01-11,ADANIPORTS,237.0,238.7,232.5,234.05,2995719
2016-01-12,ADANIPORTS,234.2,240.5,234.1,236.6,3544439
2016-01-13,ADANIPORTS,238.75,239.8,222.8,230.2,4137056
2016-01-14,ADANIPORTS,227.0,232.95,224.7,227.8,2802513
2016-01-15,ADANIPORTS,228.5,229.45,216.5,218.25,3286291
2016-01-18,ADANIPORTS,211.1,225.9,209.8,219.3,4116330
2016-01-19,ADANIPORTS,222.8,233.9,218.7,232.85,3713322
2016-01-20,ADANIPORTS,229.05,229.35,216.05,219.4,4087126
2016-01-21,ADANIPORTS,224.0,224.0,215.1,221.3,7664473
2016-01-22,ADANIPORTS,223.0,225.0,216.45,221.75,5622627
2016-01-25,ADANIPORTS,223.0,225.8,217.75,218.4,1804218
2016-01-27,ADANIPORTS,219.95,220.05,214.5,215.35,2189628
2016-01-28,ADANIPORTS,216.0,219.95,207.15,210.85,12022147
2016-01-29,ADANIPORTS,211.35,216.75,208.6,212.25,4589849
2016-02-01,ADANIPORTS,213.25,221.8,212.75,221.1,3982611
2016-02-02,ADANIPORTS,221.95,223.95,211.7,213.25,2971041
2016-02-03,ADANIPORTS,212.0,214.5,208.0,210.2,3026403
2016-02-04,ADANIPORTS,212.55,218.0,211.65,215.7,2023624
2016-02-05,ADANIPORTS,215.7,218.0,209.1,211.1,3022383
2016-02-08,ADANIPORTS,211.45,216.9,210.0,212.05,2723554
2016-02-09,ADANIPORTS,210.0,212.75,208.55,210.4,1954496
2016-02-10,ADANIPORTS,209.85,209.9,198.4,202.85,3393463
2016-02-11,ADANIPORTS,203.0,204.8,182.5,186.85,3670827
2016-02-12,ADANIPORTS,187.95,190.7,169.15,178.05,12168356
2016-02-15,ADANIPORTS,184.45,194.0,184.0,191.15,9208050
2016-02-16,ADANIPORTS,195.5,204.35,193.75,200.35,9113057
2016-02-17,ADANIPORTS,201.05,214.3,196.3,212.5,6728882
2016-02-18,ADANIPORTS,214.5,215.8,205.75,210.4,4659211
2016-02-19,ADANIPORTS,208.9,210.8,205.75,209.4,2019974
